name,url,team
Ish Wainright,https://www.espn.com/nba/player/gamelog/_/id/3059307/ish-wainright,PHX
Marvin Bagley III,https://www.espn.com/nba/player/gamelog/_/id/4277848/marvin-bagley-iii,SAC
Harrison Barnes,https://www.espn.com/nba/player/gamelog/_/id/6578/harrison-barnes,SAC
Terence Davis,https://www.espn.com/nba/player/gamelog/_/id/3919454/terence-davis,SAC
De'Aaron Fox,https://www.espn.com/nba/player/gamelog/_/id/4066259/deaaron-fox,SAC
Tyrese Haliburton,https://www.espn.com/nba/player/gamelog/_/id/4396993/tyrese-haliburton,SAC
Maurice Harkless,https://www.espn.com/nba/player/gamelog/_/id/6591/maurice-harkless,SAC
Buddy Hield,https://www.espn.com/nba/player/gamelog/_/id/2990984/buddy-hield,SAC
Richaun Holmes,https://www.espn.com/nba/player/gamelog/_/id/2993370/richaun-holmes,SAC
Damian Jones,https://www.espn.com/nba/player/gamelog/_/id/3064559/damian-jones,SAC
Louis King,https://www.espn.com/nba/player/gamelog/_/id/4397103/louis-king,SAC
Alex Len,https://www.espn.com/nba/player/gamelog/_/id/2596107/alex-len,SAC
Chimezie Metu,https://www.espn.com/nba/player/gamelog/_/id/3914283/chimezie-metu,SAC
Davion Mitchell,https://www.espn.com/nba/player/gamelog/_/id/4278053/davion-mitchell,SAC
Neemias Queta,https://www.espn.com/nba/player/gamelog/_/id/4397424/neemias-queta,SAC
Jahmi'us Ramsey,https://www.espn.com/nba/player/gamelog/_/id/4431688/jahmius-ramsey,SAC
Tristan Thompson,https://www.espn.com/nba/player/gamelog/_/id/6474/tristan-thompson,SAC
Robert Woodard II,https://www.espn.com/nba/player/gamelog/_/id/4396961/robert-woodard-ii,SAC
Lonzo Ball,https://www.espn.com/nba/player/gamelog/_/id/4066421/lonzo-ball,CHI
Tony Bradley,https://www.espn.com/nba/player/gamelog/_/id/4065673/tony-bradley,CHI
Troy Brown Jr.,https://www.espn.com/nba/player/gamelog/_/id/4278508/troy-brown-jr,CHI
Alex Caruso,https://www.espn.com/nba/player/gamelog/_/id/2991350/alex-caruso,CHI
Tyler Cook,https://www.espn.com/nba/player/gamelog/_/id/4066367/tyler-cook,CHI
DeMar DeRozan,https://www.espn.com/nba/player/gamelog/_/id/3978/demar-derozan,CHI
Ayo Dosunmu,https://www.espn.com/nba/player/gamelog/_/id/4397002/ayo-dosunmu,CHI
Devon Dotson,https://www.espn.com/nba/player/gamelog/_/id/4397016/devon-dotson,CHI
Javonte Green,https://www.espn.com/nba/player/gamelog/_/id/2596112/javonte-green,CHI
Malcolm Hill,https://www.espn.com/nba/player/gamelog/_/id/3056245/malcolm-hill,CHI
Derrick Jones Jr.,https://www.espn.com/nba/player/gamelog/_/id/3936099/derrick-jones-jr,CHI
Zach LaVine,https://www.espn.com/nba/player/gamelog/_/id/3064440/zach-lavine,CHI
Mac McClung,https://www.espn.com/nba/player/gamelog/_/id/4397071/mac-mcclung,CHI
Alfonzo McKinnie,https://www.espn.com/nba/player/gamelog/_/id/2530923/alfonzo-mckinnie,CHI
Marko Simonovic,https://www.espn.com/nba/player/gamelog/_/id/4683622/marko-simonovic,CHI
Matt Thomas,https://www.espn.com/nba/player/gamelog/_/id/3059311/matt-thomas,CHI
Nikola Vucevic,https://www.espn.com/nba/player/gamelog/_/id/6478/nikola-vucevic,CHI
Coby White,https://www.espn.com/nba/player/gamelog/_/id/4395651/coby-white,CHI
Patrick Williams,https://www.espn.com/nba/player/gamelog/_/id/4431687/patrick-williams,CHI
Jarrett Allen,https://www.espn.com/nba/player/gamelog/_/id/4066328/jarrett-allen,CLE
Ed Davis,https://www.espn.com/nba/player/gamelog/_/id/4259/ed-davis,CLE
Darius Garland,https://www.espn.com/nba/player/gamelog/_/id/4396907/darius-garland,CLE
Brandon Goodwin,https://www.espn.com/nba/player/gamelog/_/id/3057198/brandon-goodwin,CLE
Kevin Love,https://www.espn.com/nba/player/gamelog/_/id/3449/kevin-love,CLE
Lauri Markkanen,https://www.espn.com/nba/player/gamelog/_/id/4066336/lauri-markkanen,CLE
Evan Mobley,https://www.espn.com/nba/player/gamelog/_/id/4432158/evan-mobley,CLE
RJ Nembhard Jr.,https://www.espn.com/nba/player/gamelog/_/id/4277916/rj-nembhard-jr,CLE
Malik Newman,https://www.espn.com/nba/player/gamelog/_/id/3907359/malik-newman,CLE
Isaac Okoro,https://www.espn.com/nba/player/gamelog/_/id/4432822/isaac-okoro,CLE
Cedi Osman,https://www.espn.com/nba/player/gamelog/_/id/3893016/cedi-osman,CLE
Kevin Pangos,https://www.espn.com/nba/player/gamelog/_/id/2583962/kevin-pangos,CLE
Rajon Rondo,https://www.espn.com/nba/player/gamelog/_/id/3026/rajon-rondo,CLE
Ricky Rubio,https://www.espn.com/nba/player/gamelog/_/id/4011/ricky-rubio,CLE
Trevon Scott,https://www.espn.com/nba/player/gamelog/_/id/4711005/trevon-scott,CLE
Collin Sexton,https://www.espn.com/nba/player/gamelog/_/id/4277811/collin-sexton,CLE
Lamar Stevens,https://www.espn.com/nba/player/gamelog/_/id/4066405/lamar-stevens,CLE
Dean Wade,https://www.espn.com/nba/player/gamelog/_/id/3912848/dean-wade,CLE
Dylan Windler,https://www.espn.com/nba/player/gamelog/_/id/3906786/dylan-windler,CLE
Saddiq Bey,https://www.espn.com/nba/player/gamelog/_/id/4397136/saddiq-bey,DET
Cade Cunningham,https://www.espn.com/nba/player/gamelog/_/id/4432166/cade-cunningham,DET
Hamidou Diallo,https://www.espn.com/nba/player/gamelog/_/id/4080610/hamidou-diallo,DET
Luka Garza,https://www.espn.com/nba/player/gamelog/_/id/4277951/luka-garza,DET
Jerami Grant,https://www.espn.com/nba/player/gamelog/_/id/2991070/jerami-grant,DET
Killian Hayes,https://www.espn.com/nba/player/gamelog/_/id/4683024/killian-hayes,DET
Frank Jackson,https://www.espn.com/nba/player/gamelog/_/id/4065651/frank-jackson,DET
Josh Jackson,https://www.espn.com/nba/player/gamelog/_/id/4066297/josh-jackson,DET
Cory Joseph,https://www.espn.com/nba/player/gamelog/_/id/6446/cory-joseph,DET
Saben Lee,https://www.espn.com/nba/player/gamelog/_/id/4278124/saben-lee,DET
Isaiah Livers,https://www.espn.com/nba/player/gamelog/_/id/4277957/isaiah-livers,DET
Trey Lyles,https://www.espn.com/nba/player/gamelog/_/id/3136196/trey-lyles,DET
Rodney McGruder,https://www.espn.com/nba/player/gamelog/_/id/2488826/rodney-mcgruder,DET
Kelly Olynyk,https://www.espn.com/nba/player/gamelog/_/id/2489663/kelly-olynyk,DET
Jaysean Paige,https://www.espn.com/nba/player/gamelog/_/id/3133637/jaysean-paige,DET
Trayvon Palmer,https://www.espn.com/nba/player/gamelog/_/id/3151568/trayvon-palmer,DET
Jamorko Pickett,https://www.espn.com/nba/player/gamelog/_/id/4278566/jamorko-pickett,DET
Justin Robinson,https://www.espn.com/nba/player/gamelog/_/id/3945566/justin-robinson,DET
Chris Smith,https://www.espn.com/nba/player/gamelog/_/id/4278527/chris-smith,DET
Cassius Stanley,https://www.espn.com/nba/player/gamelog/_/id/4431686/cassius-stanley,DET
Isaiah Stewart,https://www.espn.com/nba/player/gamelog/_/id/4432810/isaiah-stewart,DET
Derrick Walton Jr.,https://www.espn.com/nba/player/gamelog/_/id/3056273/derrick-walton-jr,DET
Justin Anderson,https://www.espn.com/nba/player/gamelog/_/id/2982340/justin-anderson,IND
Goga Bitadze,https://www.espn.com/nba/player/gamelog/_/id/4348700/goga-bitadze,IND
Oshae Brissett,https://www.espn.com/nba/player/gamelog/_/id/4278031/oshae-brissett,IND
Malcolm Brogdon,https://www.espn.com/nba/player/gamelog/_/id/2566769/malcolm-brogdon,IND
Torrey Craig,https://www.espn.com/nba/player/gamelog/_/id/2528693/torrey-craig,IND
Chris Duarte,https://www.espn.com/nba/player/gamelog/_/id/4592402/chris-duarte,IND
Justin Holiday,https://www.espn.com/nba/player/gamelog/_/id/2284101/justin-holiday,IND
Isaiah Jackson,https://www.espn.com/nba/player/gamelog/_/id/4432170/isaiah-jackson,IND
Jeremy Lamb,https://www.espn.com/nba/player/gamelog/_/id/6603/jeremy-lamb,IND
Caris LeVert,https://www.espn.com/nba/player/gamelog/_/id/2991043/caris-levert,IND
T.J. McConnell,https://www.espn.com/nba/player/gamelog/_/id/2530530/tj-mcconnell,IND
Domantas Sabonis,https://www.espn.com/nba/player/gamelog/_/id/3155942/domantas-sabonis,IND
Lance Stephenson,https://www.espn.com/nba/player/gamelog/_/id/4244/lance-stephenson,IND
Keifer Sykes,https://www.espn.com/nba/player/gamelog/_/id/2596247/keifer-sykes,IND
Terry Taylor,https://www.espn.com/nba/player/gamelog/_/id/4279815/terry-taylor,IND
Myles Turner,https://www.espn.com/nba/player/gamelog/_/id/3133628/myles-turner,IND
T.J. Warren,https://www.espn.com/nba/player/gamelog/_/id/2982334/tj-warren,IND
Duane Washington Jr.,https://www.espn.com/nba/player/gamelog/_/id/4397235/duane-washington-jr,IND
Grayson Allen,https://www.espn.com/nba/player/gamelog/_/id/3135045/grayson-allen,MIL
Giannis Antetokounmpo,https://www.espn.com/nba/player/gamelog/_/id/3032977/giannis-antetokounmpo,MIL
Thanasis Antetokounmpo,https://www.espn.com/nba/player/gamelog/_/id/3102533/thanasis-antetokounmpo,MIL
Pat Connaughton,https://www.espn.com/nba/player/gamelog/_/id/2578239/pat-connaughton,MIL
Donte DiVincenzo,https://www.espn.com/nba/player/gamelog/_/id/3934673/donte-divincenzo,MIL
Jeff Dowtin,https://www.espn.com/nba/player/gamelog/_/id/4066786/jeff-dowtin,MIL
Langston Galloway,https://www.espn.com/nba/player/gamelog/_/id/2530572/langston-galloway,MIL
George Hill,https://www.espn.com/nba/player/gamelog/_/id/3438/george-hill,MIL
Jrue Holiday,https://www.espn.com/nba/player/gamelog/_/id/3995/jrue-holiday,MIL
Rodney Hood,https://www.espn.com/nba/player/gamelog/_/id/2581177/rodney-hood,MIL
Brook Lopez,https://www.espn.com/nba/player/gamelog/_/id/3448/brook-lopez,MIL
